"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XLF, Long, 2026-03-16 (Price: 49.3)",2026-04-08 (Price: 51.2),"3.85%, 23 days","83.33%, Past 4 years, 12","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-09 (Price: 51.33), 4.12% above",24 days,4.22%/1.32%/2.7%,"8.98%, 9.74%",1.1 month/2 days/10 days,2026-05-02/2026-03-18/2026-03-30,4.96%,5.14%,-0.18%,0.21,0.26,52.7658/50.6311/51.7/51.78/70.6138/110.4396/52.7,48.83/30.1167/45.9996/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),49.25
"TCS.NS, Long, 2026-03-16 (Price: 2409.2)",2026-04-06 (Price: 2473.8999),"2.69%, 21 days","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-04-09 (Price: 2589.0), 7.46% above",24 days,4.6%/1.73%/2.98%,"13.77%, 13.77%",21 days/1 day/12 days,2026-04-15/2026-03-17/2026-04-02,3.39%,-3.83%,7.22%,-0.05,-0.38,2463.8888/2480.9942/2472.44/4543.575/5051.5642/5692.579/3028.79,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),2410.0
"NAUKRI.NS, Long, 2026-03-15 (Price: 952.4)",2026-04-09 (Price: 1002.4),"5.25%, 25 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-04-09 (Price: 1002.4), 5.25% above",25 days,11.73%/6.17%/8.95%,"22.33%, 28.55%",3.3 months/7 days/1.7 month,2026-08-05/2026-03-25/2026-05-27,1.69%,13.09%,-11.4%,-0.21,0.64,1436.7906/1037.6398/1237.22/1483.595/2223.4618/2377.3661/1296.29,816.3/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),966.0
"TFII.TO, Long, 2026-03-11 (Price: 150.79)",2026-04-06 (Price: 158.44),"5.07%, 26 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-04-09 (Price: 171.1), 13.47% above",29 days,6.98%/2.44%/4.5%,"22.89%, 22.89%",2.9 months/1 day/24 days,2026-07-15/2026-03-12/2026-04-14,3.52%,7.28%,-3.76%,0.22,0.38,154.7859/157.5755/156.18/219.9933/223.9051/280.6304/No EMA 200 Target,150.27/115.528/150.2411/113.6809/No F-Track Level/No F-Track Level/136.54,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),149.08
"IWM, Long, 2026-03-10 (Price: 253.36)",2026-04-08 (Price: 260.47),"2.81%, 29 days","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-04-09 (Price: 261.96), 3.39% above",1 month,6.0%/1.94%/3.57%,"6.91%, 6.91%",2.7 months/1 day/18 days,2026-07-05/2026-03-11/2026-04-05,12.78%,1.89%,10.89%,2.01,0.04,266.9148/262.405/264.66/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,250.89/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/243.78,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),252.96
"ACWX, Long, 2026-03-09 (Price: 70.09)",2026-04-08 (Price: 72.26),"3.1%, 1 month","85.71%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-09",Already confirmed,"2026-04-09 (Price: 72.11), 2.88% above",1 month,4.11%/1.32%/2.23%,"8.68%, 10.44%",1.5 month/1 day/12 days,2026-05-13/2026-03-10/2026-03-26,5.26%,3.02%,2.24%,1.13,0.08,73.4333/71.653/72.54/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,69.3/45.07/69.6679/61.9685/No F-Track Level/No F-Track Level/66.34,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),68.33
"EFA, Long, 2026-03-09 (Price: 98.99)",2026-04-08 (Price: 102.19),"3.23%, 1 month","93.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-09",Already confirmed,"2026-04-09 (Price: 101.95), 2.99% above",1 month,4.45%/1.21%/2.33%,"7.83%, 7.83%",1.4 month/1 day/11 days,2026-05-08/2026-03-10/2026-03-24,8.48%,3.44%,5.04%,2.17,0.12,103.9989/101.2965/102.65/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,98.28/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.16,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),96.775
"IBKR, Long, 2026-03-09 (Price: 67.49)",2026-04-08 (Price: 72.31),"7.14%, 1 month","100.0%, Past 4 years, 8","Daily, was CONFIRMED on 2026-03-09",Already confirmed,"2026-04-09 (Price: 71.93), 6.58% above",1 month,7.8%/2.46%/4.48%,"-0.0%, 19.81%",1.9 month/2 days/13 days,2026-05-30/2026-03-11/2026-03-27,11.28%,19.93%,-8.65%,1.76,0.97,71.9848/70.5136/71.25/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,66.7/13.0762/67.1382/45.4088/No F-Track Level/No F-Track Level/66.74,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),65.34
"EWJ, Long, 2026-03-09 (Price: 85.64)",2026-04-08 (Price: 89.41),"4.4%, 1 month","100.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-03-09",Already confirmed,"2026-04-09 (Price: 88.22), 3.01% above",1 month,7.61%/1.67%/2.86%,"-0.0%, 2.81%",1.2 month/1 day/8 days,2026-04-30/2026-03-10/2026-03-20,13.61%,3.03%,10.58%,4.05,0.09,90.7356/88.0893/89.41/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,84.77/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/81.89,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),83.78
"MTY.TO, Long, 2026-03-05 (Price: 39.8)",2026-04-08 (Price: 40.73),"2.34%, 1.1 month","73.33%, Past 4 years, 15","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-04-09 (Price: 40.41), 1.53% above",1.2 month,16.04%/1.91%/5.06%,"10.87%, 15.04%",1.2 month/2 days/13 days,2026-04-26/2026-03-07/2026-03-23,8.47%,-4.69%,13.16%,0.48,-0.21,42.2756/41.8139/42.04/72.5033/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,37.0/37.115/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/38.91,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),39.93
"GS, Long, 2026-03-04 (Price: 867.25)",2026-04-08 (Price: 905.75),"4.44%, 1.2 month","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-03-04",Already confirmed,"2026-04-09 (Price: 903.72), 4.21% above",1.2 month,5.86%/2.47%/4.1%,"12.56%, 14.56%",20 days/5 days/10 days,2026-04-01/2026-03-11/2026-03-18,6.01%,14.6%,-8.59%,1.1,0.79,909.3983/902.8072/906.1/No Horizontal Resistance/1261.1009/1964.4733/No EMA 200 Target,859.57/288.555/858.2074/794.5775/No F-Track Level/No F-Track Level/813.73,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),869.84
"BAC, Long, 2026-03-03 (Price: 49.97)",2026-04-08 (Price: 51.88),"3.82%, 1.2 month","88.24%, Past 4 years, 17","Daily, was CONFIRMED on 2026-03-03",Already confirmed,"2026-04-09 (Price: 52.71), 5.48% above",1.2 month,6.05%/2.52%/3.84%,"10.59%, 11.17%",1.1 month/1 day/12 days,2026-04-19/2026-03-04/2026-03-20,10.52%,3.17%,7.35%,1.12,0.15,52.4985/51.8888/52.19/No Horizontal Resistance/72.41/85.2389/50.96,49.81/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),48.76
"ETH-USD, Long, 2026-03-01 (Price: 1939.0667)",2026-04-09 (Price: 2211.4587),"14.05%, 1.3 month","100.0%, Past 10 years, 4","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-04-09 (Price: 2211.4587), 14.05% above",1.3 month,33.31%/21.78%/26.76%,"-0.0%, 21.37%",1.6 month/14 days/1 month,2026-05-09/2026-03-21/2026-04-13,25.34%,17.52%,7.82%,1.25,0.91,2670.8705/2457.9609/2564.42/4922.7188/4887.278/5344.0381/2947.3,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets),1958.1396
"TWR.NZ, Long, 2026-01-23 (Price: 1.89)",2026-04-07 (Price: 1.94),"2.65%, 2.5 months","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-23",Already confirmed,"2026-04-09 (Price: 1.915), 1.32% above",2.5 months,4.44%/2.36%/3.4%,"10.44%, 11.77%",15 days/1 day/6 days,2026-02-13/2026-01-24/2026-01-31,1.37%,10.89%,-9.52%,-0.9,0.62,1.9575/1.9543/1.96/No Horizontal Resistance/7.3695/7.9211/No EMA 200 Target,1.82/0.6472/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/1.82,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets),1.88
"IMO.TO, Short, 2026-04-05 (Price: 181.66)",No Exit Yet,"2.3%, 4 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-09 (Price: 177.48), 2.3% below",4 days,4.86%/3.69%/4.33%,"11.16%, 10.25%",2.3 months/21 days/1.4 month,2026-07-13/2026-05-05/2026-06-04,3.57%,4.79%,-1.22%,-0.97,0.31,170.9057/173.7941/172.35/60.8067/143.048/134.0661/133.93,No Recent Maxima/No Horizontal Resistance/188.7349/196.834/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.67%/12/29 days (Across ALL Assets),70.59%/34/1 month (Across ALL Assets),182.88
