Date,Function,Bullish Asset vs Total Asset (%),Bullish Signal vs Total Signal (%)
2025-10-16,BASELINEDIVERGENCE,0%,0.0%
2025-10-16,All Function Combined,100.0%,22.22%
2025-10-17,FRACTAL TRACK,100.0%,1.27%
2025-10-17,OSCILLATOR DELTA,0%,0.0%
2025-10-17,DELTADRIFT,0%,0.0%
2025-10-17,BAND MATRIX,0%,0.0%
2025-10-17,SIGMASHELL,0%,0.0%
2025-10-17,TRENDPULSE,0%,0.0%
2025-10-17,PULSEGAUGE,0%,0.0%
2025-10-17,BASELINEDIVERGENCE,0%,0.0%
2025-10-17,All Function Combined,100.0%,1.27%
2025-10-20,FRACTAL TRACK,92.86%,8.23%
2025-10-20,OSCILLATOR DELTA,100.0%,0.63%
2025-10-20,DELTADRIFT,100.0%,0.63%
2025-10-20,BAND MATRIX,0%,0.0%
2025-10-20,SIGMASHELL,0%,0.0%
2025-10-20,TRENDPULSE,0%,0.0%
2025-10-20,PULSEGAUGE,0%,0.0%
2025-10-20,BASELINEDIVERGENCE,0%,0.0%
2025-10-20,All Function Combined,93.75%,8.86%
2025-10-21,FRACTAL TRACK,66.67%,1.27%
2025-10-21,OSCILLATOR DELTA,0%,0.0%
2025-10-21,DELTADRIFT,100.0%,0.63%
2025-10-21,BAND MATRIX,100.0%,0.63%
2025-10-21,SIGMASHELL,0%,0.0%
2025-10-21,TRENDPULSE,100.0%,0.63%
2025-10-21,PULSEGAUGE,0%,0.0%
2025-10-21,BASELINEDIVERGENCE,0%,0.0%
2025-10-21,All Function Combined,83.33%,3.16%
2025-10-22,FRACTAL TRACK,100.0%,1.9%
2025-10-22,OSCILLATOR DELTA,100.0%,2.53%
2025-10-22,SIGMASHELL,0%,0.0%
2025-10-22,TRENDPULSE,0%,0.0%
2025-10-22,PULSEGAUGE,0%,0.0%
2025-10-22,BASELINEDIVERGENCE,0%,0.0%
2025-10-22,All Function Combined,100.0%,3.16%
2025-10-23,FRACTAL TRACK,100.0%,3.8%
2025-10-23,OSCILLATOR DELTA,100.0%,0.63%
2025-10-23,SIGMASHELL,0%,0.0%
2025-10-23,TRENDPULSE,0%,0.0%
2025-10-23,PULSEGAUGE,0%,0.0%
2025-10-23,BASELINEDIVERGENCE,0%,0.0%
2025-10-23,All Function Combined,100.0%,4.43%
2025-10-24,FRACTAL TRACK,50.0%,0.63%
2025-10-24,OSCILLATOR DELTA,100.0%,0.63%
2025-10-24,SIGMASHELL,0%,0.0%
2025-10-24,TRENDPULSE,0%,0.0%
2025-10-24,PULSEGAUGE,0%,0.0%
2025-10-24,BASELINEDIVERGENCE,0%,0.0%
2025-10-24,All Function Combined,66.67%,1.27%
2025-10-27,FRACTAL TRACK,33.33%,0.63%
2025-10-27,OSCILLATOR DELTA,0%,0.0%
2025-10-27,SIGMASHELL,0%,0.0%
2025-10-27,TRENDPULSE,0%,0.0%
2025-10-27,PULSEGAUGE,0%,0.0%
2025-10-27,BASELINEDIVERGENCE,0%,0.0%
2025-10-27,All Function Combined,33.33%,0.63%
2025-10-28,FRACTAL TRACK,83.33%,6.33%
2025-10-28,OSCILLATOR DELTA,0%,0.0%
2025-10-28,SIGMASHELL,0%,0.0%
2025-10-28,TRENDPULSE,100.0%,0.63%
2025-10-28,PULSEGAUGE,0%,0.0%
2025-10-28,BASELINEDIVERGENCE,0%,0.0%
2025-10-28,All Function Combined,84.62%,6.96%
2025-10-29,FRACTAL TRACK,0.0%,0.0%
2025-10-29,OSCILLATOR DELTA,0%,0.0%
2025-10-29,SIGMASHELL,0%,0.0%
2025-10-29,TRENDPULSE,100.0%,0.63%
2025-10-29,PULSEGAUGE,0%,0.0%
2025-10-29,BASELINEDIVERGENCE,0%,0.0%
2025-10-29,All Function Combined,33.33%,0.63%
2025-10-30,FRACTAL TRACK,25.0%,0.63%
2025-10-30,OSCILLATOR DELTA,0%,0.0%
2025-10-30,SIGMASHELL,0%,0.0%
2025-10-30,TRENDPULSE,100.0%,0.63%
2025-10-30,PULSEGAUGE,0%,0.0%
2025-10-30,All Function Combined,40.0%,1.27%
2025-10-31,FRACTAL TRACK,3.82%,54.55%
2025-10-31,OSCILLATOR DELTA,0.64%,100.0%
2025-10-31,DELTADRIFT,0.0%,0%
2025-10-31,BAND MATRIX,0.64%,100.0%
2025-10-31,SIGMASHELL,0.0%,0%
2025-10-31,TRENDPULSE,11.46%,100.0%
2025-10-31,PULSEGAUGE,0.0%,0%
2025-10-31,All Function Combined,16.56%,83.87%
2025-11-04,FRACTAL TRACK,0.0%,0%
2025-11-04,OSCILLATOR DELTA,0.0%,0%
2025-11-04,DELTADRIFT,0.0%,0%
2025-11-04,BAND MATRIX,0.0%,0%
2025-11-04,TRENDPULSE,0.0%,0%
2025-11-04,SIGMASHELL,0.0%,0%
2025-11-04,PULSEGAUGE,0.0%,0%
2025-11-04,BASELINEDIVERGENCE,0.0%,0%
2025-11-04,All Function Combined,0.0%,0%
2025-11-04,FRACTAL TRACK,1.91%,100.0%
2025-11-04,OSCILLATOR DELTA,1.27%,100.0%
2025-11-04,DELTADRIFT,0.0%,0%
2025-11-04,BAND MATRIX,0.0%,0%
2025-11-04,TRENDPULSE,1.27%,100.0%
2025-11-04,SIGMASHELL,0.64%,100.0%
2025-11-04,PULSEGAUGE,0.0%,0%
2025-11-04,BASELINEDIVERGENCE,0.0%,0%
2025-11-04,All Function Combined,5.1%,100.0%
2025-11-05,FRACTAL TRACK,1.91%,100.0%
2025-11-05,OSCILLATOR DELTA,1.27%,100.0%
2025-11-05,DELTADRIFT,0.0%,0%
2025-11-05,TRENDPULSE,0.64%,100.0%
2025-11-05,SIGMASHELL,0.0%,0%
2025-11-05,PULSEGAUGE,0.0%,0%
2025-11-05,BASELINEDIVERGENCE,0.0%,0%
2025-11-05,All Function Combined,3.82%,100.0%
2025-11-06,FRACTAL TRACK,3.82%,100.0%
2025-11-06,OSCILLATOR DELTA,0.64%,100.0%
2025-11-06,DELTADRIFT,0.0%,0%
2025-11-06,TRENDPULSE,0.0%,0%
2025-11-06,SIGMASHELL,0.0%,0%
2025-11-06,PULSEGAUGE,0.0%,0%
2025-11-06,BASELINEDIVERGENCE,0.0%,0%
2025-11-06,All Function Combined,3.82%,100.0%
2025-11-07,FRACTAL TRACK,2.55%,80.0%
2025-11-07,OSCILLATOR DELTA,0.64%,100.0%
2025-11-07,DELTADRIFT,0.0%,0%
2025-11-07,TRENDPULSE,0.64%,100.0%
2025-11-07,SIGMASHELL,0.0%,0%
2025-11-07,PULSEGAUGE,0.0%,0%
2025-11-07,BASELINEDIVERGENCE,0.64%,100.0%
2025-11-07,All Function Combined,3.82%,87.5%
2025-11-10,FRACTAL TRACK,1.27%,66.67%
2025-11-10,OSCILLATOR DELTA,1.91%,100.0%
2025-11-10,DELTADRIFT,1.27%,100.0%
2025-11-10,TRENDPULSE,0.0%,0%
2025-11-10,SIGMASHELL,0.0%,0%
2025-11-10,PULSEGAUGE,0.0%,0%
2025-11-10,BASELINEDIVERGENCE,0.0%,0%
2025-11-10,All Function Combined,3.82%,87.5%
2025-11-11,FRACTAL TRACK,3.18%,83.33%
2025-11-11,OSCILLATOR DELTA,1.91%,100.0%
2025-11-11,DELTADRIFT,0.0%,0%
2025-11-11,TRENDPULSE,1.91%,100.0%
2025-11-11,SIGMASHELL,0.0%,0%
2025-11-11,PULSEGAUGE,0.0%,0%
2025-11-11,BASELINEDIVERGENCE,0.0%,0%
2025-11-11,All Function Combined,6.37%,91.67%
2025-11-11,FRACTAL TRACK,3.18%,83.33%
2025-11-11,OSCILLATOR DELTA,1.91%,100.0%
2025-11-11,DELTADRIFT,0.0%,0%
2025-11-11,BAND MATRIX,0.0%,0%
2025-11-11,TRENDPULSE,1.91%,100.0%
2025-11-11,SIGMASHELL,0.0%,0%
2025-11-11,PULSEGAUGE,0.0%,0%
2025-11-11,BASELINEDIVERGENCE,0.0%,0%
2025-11-11,All Function Combined,6.37%,91.67%
2025-11-11,FRACTAL TRACK,3.18%,83.33%
2025-11-11,OSCILLATOR DELTA,1.91%,100.0%
2025-11-11,DELTADRIFT,0.0%,0%
2025-11-11,BAND MATRIX,0.0%,0%
2025-11-11,TRENDPULSE,1.91%,100.0%
2025-11-11,SIGMASHELL,0.0%,0%
2025-11-11,PULSEGAUGE,0.0%,0%
2025-11-11,BASELINEDIVERGENCE,0.0%,0%
2025-11-11,All Function Combined,6.37%,91.67%
2025-11-12,FRACTAL TRACK,0.64%,33.33%
2025-11-12,OSCILLATOR DELTA,1.27%,100.0%
2025-11-12,DELTADRIFT,0.64%,100.0%
2025-11-12,BAND MATRIX,0.0%,0%
2025-11-12,TRENDPULSE,3.82%,100.0%
2025-11-12,SIGMASHELL,0.0%,0%
2025-11-12,PULSEGAUGE,0.0%,0%
2025-11-12,BASELINEDIVERGENCE,0.0%,0%
2025-11-12,All Function Combined,5.73%,83.33%
2025-11-13,FRACTAL TRACK,0.64%,50.0%
2025-11-13,OSCILLATOR DELTA,0.64%,100.0%
2025-11-13,DELTADRIFT,0.0%,0%
2025-11-13,BAND MATRIX,0.0%,0%
2025-11-13,TRENDPULSE,0.64%,100.0%
2025-11-13,SIGMASHELL,0.0%,0%
2025-11-13,PULSEGAUGE,0.0%,0%
2025-11-13,BASELINEDIVERGENCE,0.0%,0%
2025-11-13,All Function Combined,1.91%,75.0%
2025-11-14,FRACTAL TRACK,0.64%,50.0%
2025-11-14,OSCILLATOR DELTA,0.0%,0%
2025-11-14,DELTADRIFT,0.0%,0%
2025-11-14,BAND MATRIX,0.0%,0%
2025-11-14,TRENDPULSE,1.91%,100.0%
2025-11-14,SIGMASHELL,0.0%,0%
2025-11-14,PULSEGAUGE,0.0%,0%
2025-11-14,BASELINEDIVERGENCE,0.0%,0%
2025-11-14,All Function Combined,2.55%,80.0%
2025-11-18,FRACTAL TRACK,2.55%,57.14%
2025-11-18,OSCILLATOR DELTA,0.0%,0%
2025-11-18,DELTADRIFT,0.0%,0%
2025-11-18,BAND MATRIX,2.55%,100.0%
2025-11-18,TRENDPULSE,0.64%,100.0%
2025-11-18,SIGMASHELL,0.64%,100.0%
2025-11-18,PULSEGAUGE,0.0%,0%
2025-11-18,BASELINEDIVERGENCE,0.0%,0%
2025-11-18,All Function Combined,6.37%,76.92%
2025-11-18,FRACTAL TRACK,2.55%,57.14%
2025-11-18,OSCILLATOR DELTA,0.0%,0%
2025-11-18,DELTADRIFT,0.64%,100.0%
2025-11-18,BAND MATRIX,2.55%,100.0%
2025-11-18,TRENDPULSE,1.27%,100.0%
2025-11-18,SIGMASHELL,0.64%,100.0%
2025-11-18,PULSEGAUGE,0.0%,0%
2025-11-18,BASELINEDIVERGENCE,0.0%,0%
2025-11-18,All Function Combined,7.64%,80.0%
2025-11-20,FRACTAL TRACK,2.55%,50.0%
2025-11-20,OSCILLATOR DELTA,0.64%,100.0%
2025-11-20,DELTADRIFT,0.0%,0%
2025-11-20,BAND MATRIX,3.82%,100.0%
2025-11-20,TRENDPULSE,0.0%,0%
2025-11-20,SIGMASHELL,0.0%,0%
2025-11-20,PULSEGAUGE,0.0%,0%
2025-11-20,BASELINEDIVERGENCE,0.0%,0%
2025-11-20,All Function Combined,7.01%,73.33%
2025-11-25,FRACTAL TRACK,0.0%,0.0%
2025-11-25,OSCILLATOR DELTA,0.0%,0%
2025-11-25,DELTADRIFT,0.0%,0%
2025-11-25,BAND MATRIX,0.0%,0%
2025-11-25,TRENDPULSE,0.0%,0%
2025-11-25,SIGMASHELL,0.0%,0%
2025-11-25,PULSEGAUGE,0.0%,0%
2025-11-25,BASELINEDIVERGENCE,0.0%,0%
2025-11-25,All Function Combined,0.0%,0.0%
2025-11-25,FRACTAL TRACK,0.0%,0.0%
2025-11-25,OSCILLATOR DELTA,0.0%,0%
2025-11-25,DELTADRIFT,0.0%,0%
2025-11-25,BAND MATRIX,0.0%,0%
2025-11-25,TRENDPULSE,0.0%,0%
2025-11-25,SIGMASHELL,0.0%,0%
2025-11-25,PULSEGAUGE,0.0%,0%
2025-11-25,BASELINEDIVERGENCE,0.0%,0%
2025-11-25,All Function Combined,0.0%,0.0%
2025-11-25,FRACTAL TRACK,0.0%,0.0%
2025-11-25,OSCILLATOR DELTA,0.0%,0%
2025-11-25,DELTADRIFT,0.0%,0%
2025-11-25,BAND MATRIX,0.0%,0%
2025-11-25,TRENDPULSE,0.0%,0%
2025-11-25,SIGMASHELL,0.0%,0%
2025-11-25,PULSEGAUGE,0.0%,0%
2025-11-25,BASELINEDIVERGENCE,0.0%,0%
2025-11-25,All Function Combined,0.0%,0.0%
2025-11-25,FRACTAL TRACK,1.27%,28.57%
2025-11-25,OSCILLATOR DELTA,0.0%,0%
2025-11-25,DELTADRIFT,0.0%,0%
2025-11-25,BAND MATRIX,0.0%,0%
2025-11-25,TRENDPULSE,0.64%,100.0%
2025-11-25,SIGMASHELL,0.0%,0%
2025-11-25,PULSEGAUGE,0.0%,0%
2025-11-25,BASELINEDIVERGENCE,0.0%,0%
2025-11-25,All Function Combined,1.91%,37.5%
2025-11-26,FRACTAL TRACK,0.64%,16.67%
2025-11-26,OSCILLATOR DELTA,0.0%,0%
2025-11-26,DELTADRIFT,0.0%,0%
2025-11-26,BAND MATRIX,0.0%,0%
2025-11-26,TRENDPULSE,0.0%,0%
2025-11-26,SIGMASHELL,0.0%,0%
2025-11-26,PULSEGAUGE,0.0%,0%
2025-11-26,BASELINEDIVERGENCE,0.0%,0%
2025-11-26,All Function Combined,0.64%,16.67%
2025-11-26,FRACTAL TRACK,0.64%,16.67%
2025-11-26,OSCILLATOR DELTA,0.0%,0%
2025-11-26,DELTADRIFT,0.0%,0%
2025-11-26,BAND MATRIX,0.0%,0%
2025-11-26,TRENDPULSE,0.0%,0%
2025-11-26,SIGMASHELL,0.0%,0%
2025-11-26,PULSEGAUGE,0.0%,0%
2025-11-26,BASELINEDIVERGENCE,0.0%,0%
2025-11-26,All Function Combined,0.64%,16.67%
2025-11-27,FRACTAL TRACK,0.64%,16.67%
2025-11-27,OSCILLATOR DELTA,0.0%,0%
2025-11-27,DELTADRIFT,0.0%,0%
2025-11-27,BAND MATRIX,0.0%,0%
2025-11-27,TRENDPULSE,0.0%,0%
2025-11-27,SIGMASHELL,0.0%,0%
2025-11-27,PULSEGAUGE,0.0%,0%
2025-11-27,BASELINEDIVERGENCE,0.0%,0%
2025-11-27,All Function Combined,0.64%,16.67%
2025-11-28,FRACTAL TRACK,3.18%,50.0%
2025-11-28,OSCILLATOR DELTA,0.64%,100.0%
2025-11-28,DELTADRIFT,0.0%,0%
2025-11-28,TRENDPULSE,5.73%,100.0%
2025-11-28,SIGMASHELL,0.0%,0%
2025-11-28,PULSEGAUGE,0.0%,0%
2025-11-28,BASELINEDIVERGENCE,0.64%,100.0%
2025-11-28,All Function Combined,10.19%,76.19%
2025-12-01,FRACTAL TRACK,0.0%,0.0%
2025-12-01,OSCILLATOR DELTA,1.27%,100.0%
2025-12-01,DELTADRIFT,0.0%,0%
2025-12-01,TRENDPULSE,1.27%,100.0%
2025-12-01,SIGMASHELL,0.0%,0%
2025-12-01,PULSEGAUGE,0.0%,0%
2025-12-01,BASELINEDIVERGENCE,0.0%,0%
2025-12-01,All Function Combined,2.55%,66.67%
2025-12-02,FRACTAL TRACK,0.64%,25.0%
2025-12-02,OSCILLATOR DELTA,0.64%,100.0%
2025-12-02,DELTADRIFT,0.0%,0%
2025-12-02,TRENDPULSE,0.64%,100.0%
2025-12-02,PULSEGAUGE,0.0%,0%
2025-12-02,BASELINEDIVERGENCE,0.0%,0%
2025-12-02,All Function Combined,1.91%,50.0%
2025-12-03,FRACTAL TRACK,0.64%,25.0%
2025-12-03,OSCILLATOR DELTA,0.64%,100.0%
2025-12-03,DELTADRIFT,0.0%,0%
2025-12-03,TRENDPULSE,1.91%,100.0%
2025-12-03,SIGMASHELL,0.64%,100.0%
2025-12-03,PULSEGAUGE,0.0%,0%
2025-12-03,BASELINEDIVERGENCE,0.0%,0%
2025-12-03,All Function Combined,3.82%,66.67%
2025-12-04,FRACTAL TRACK,1.91%,50.0%
2025-12-04,OSCILLATOR DELTA,0.0%,0%
2025-12-04,DELTADRIFT,0.0%,0%
2025-12-04,TRENDPULSE,1.27%,100.0%
2025-12-04,SIGMASHELL,0.64%,100.0%
2025-12-04,PULSEGAUGE,0.0%,0%
2025-12-04,BASELINEDIVERGENCE,0.0%,0%
2025-12-04,All Function Combined,3.82%,66.67%
2025-12-05,FRACTAL TRACK,4.46%,63.64%
2025-12-05,OSCILLATOR DELTA,0.0%,0%
2025-12-05,DELTADRIFT,0.64%,100.0%
2025-12-05,TRENDPULSE,5.1%,100.0%
2025-12-05,SIGMASHELL,0.0%,0%
2025-12-05,PULSEGAUGE,0.0%,0%
2025-12-05,BASELINEDIVERGENCE,0.0%,0%
2025-12-05,All Function Combined,10.19%,80.0%
2025-12-08,All Function Combined,0.0%,0%
2025-12-09,FRACTAL TRACK,0.0%,0.0%
2025-12-09,OSCILLATOR DELTA,0.0%,0.0%
2025-12-09,DELTADRIFT,0.0%,0%
2025-12-09,SIGMASHELL,0.0%,0%
2025-12-09,PULSEGAUGE,0.0%,0%
2025-12-09,BASELINEDIVERGENCE,0.0%,0%
2025-12-09,All Function Combined,0.0%,0.0%
2025-12-09,FRACTAL TRACK,0.0%,0.0%
2025-12-09,OSCILLATOR DELTA,0.0%,0.0%
2025-12-09,DELTADRIFT,0.0%,0%
2025-12-09,BAND MATRIX,0.0%,0%
2025-12-09,SIGMASHELL,0.0%,0%
2025-12-09,PULSEGAUGE,0.0%,0%
2025-12-09,BASELINEDIVERGENCE,0.0%,0%
2025-12-09,All Function Combined,0.0%,0.0%
2025-12-10,FRACTAL TRACK,0.0%,0.0%
2025-12-10,OSCILLATOR DELTA,0.0%,0%
2025-12-10,DELTADRIFT,1.27%,100.0%
2025-12-10,TRENDPULSE,1.91%,100.0%
2025-12-10,SIGMASHELL,0.0%,0%
2025-12-10,PULSEGAUGE,0.0%,0%
2025-12-10,BASELINEDIVERGENCE,0.0%,0%
2025-12-10,All Function Combined,3.18%,62.5%
2025-12-11,FRACTAL TRACK,3.18%,62.5%
2025-12-11,OSCILLATOR DELTA,0.0%,0%
2025-12-11,DELTADRIFT,0.64%,100.0%
2025-12-11,TRENDPULSE,1.27%,100.0%
2025-12-11,SIGMASHELL,0.0%,0%
2025-12-11,PULSEGAUGE,0.0%,0%
2025-12-11,BASELINEDIVERGENCE,0.0%,0%
2025-12-11,All Function Combined,5.1%,72.73%
2025-12-12,FRACTAL TRACK,5.1%,72.73%
2025-12-12,OSCILLATOR DELTA,0.0%,0%
2025-12-12,DELTADRIFT,0.64%,100.0%
2025-12-12,TRENDPULSE,2.55%,100.0%
2025-12-12,SIGMASHELL,0.0%,0%
2025-12-12,PULSEGAUGE,0.0%,0%
2025-12-12,BASELINEDIVERGENCE,0.0%,0%
2025-12-12,All Function Combined,8.28%,81.25%
2025-12-17,FRACTAL TRACK,0.63%,25.0%
2025-12-17,OSCILLATOR DELTA,0.0%,0%
2025-12-17,DELTADRIFT,0.0%,0%
2025-12-17,TRENDPULSE,0.0%,0%
2025-12-17,SIGMASHELL,0.0%,0%
2025-12-17,PULSEGAUGE,0.0%,0%
2025-12-17,BASELINEDIVERGENCE,0.0%,0%
2025-12-17,All Function Combined,0.63%,25.0%
2025-12-18,FRACTAL TRACK,3.14%,62.5%
2025-12-18,OSCILLATOR DELTA,0.63%,100.0%
2025-12-18,DELTADRIFT,0.0%,0%
2025-12-18,TRENDPULSE,1.26%,100.0%
2025-12-18,SIGMASHELL,0.0%,0%
2025-12-18,PULSEGAUGE,0.0%,0%
2025-12-18,BASELINEDIVERGENCE,0.0%,0%
2025-12-18,All Function Combined,5.03%,72.73%
2025-12-19,FRACTAL TRACK,5.03%,72.73%
2025-12-19,OSCILLATOR DELTA,0.0%,0%
2025-12-19,DELTADRIFT,0.0%,0%
2025-12-19,TRENDPULSE,3.77%,100.0%
2025-12-19,SIGMASHELL,0.0%,0%
2025-12-19,PULSEGAUGE,0.0%,0%
2025-12-19,BASELINEDIVERGENCE,0.0%,0%
2025-12-19,All Function Combined,8.81%,82.35%
2025-12-22,FRACTAL TRACK,0.0%,0.0%
2025-12-22,OSCILLATOR DELTA,0.0%,0%
2025-12-22,DELTADRIFT,1.26%,100.0%
2025-12-22,TRENDPULSE,1.26%,100.0%
2025-12-22,SIGMASHELL,0.0%,0%
2025-12-22,PULSEGAUGE,0.0%,0%
2025-12-22,BASELINEDIVERGENCE,0.0%,0%
2025-12-22,All Function Combined,2.52%,57.14%
2025-12-23,FRACTAL TRACK,0.63%,25.0%
2025-12-23,OSCILLATOR DELTA,0.63%,100.0%
2025-12-23,DELTADRIFT,0.0%,0%
2025-12-23,TRENDPULSE,0.0%,0%
2025-12-23,SIGMASHELL,0.0%,0%
2025-12-23,PULSEGAUGE,0.0%,0%
2025-12-23,BASELINEDIVERGENCE,0.0%,0%
2025-12-23,All Function Combined,1.26%,40.0%
2025-12-24,FRACTAL TRACK,1.26%,40.0%
2025-12-24,OSCILLATOR DELTA,0.0%,0%
2025-12-24,DELTADRIFT,0.63%,100.0%
2025-12-24,TRENDPULSE,0.0%,0%
2025-12-24,SIGMASHELL,0.0%,0%
2025-12-24,PULSEGAUGE,0.0%,0%
2025-12-24,BASELINEDIVERGENCE,0.0%,0%
2025-12-24,All Function Combined,1.89%,50.0%
2025-12-25,FRACTAL TRACK,0.0%,0.0%
2025-12-25,OSCILLATOR DELTA,0.0%,0%
2025-12-25,DELTADRIFT,0.0%,0%
2025-12-25,TRENDPULSE,0.0%,0%
2025-12-25,SIGMASHELL,0.0%,0%
2025-12-25,PULSEGAUGE,0.0%,0%
2025-12-25,BASELINEDIVERGENCE,0.0%,0%
2025-12-25,All Function Combined,0.0%,0.0%
2025-12-26,FRACTAL TRACK,2.52%,57.14%
2025-12-26,OSCILLATOR DELTA,0.0%,0%
2025-12-26,DELTADRIFT,0.63%,100.0%
2025-12-26,TRENDPULSE,4.4%,87.5%
2025-12-26,SIGMASHELL,0.0%,0%
2025-12-26,PULSEGAUGE,0.0%,0%
2025-12-26,BASELINEDIVERGENCE,0.0%,0%
2025-12-26,All Function Combined,7.55%,75.0%
2025-12-29,FRACTAL TRACK,0.63%,25.0%
2025-12-29,OSCILLATOR DELTA,0.0%,0%
2025-12-29,DELTADRIFT,0.0%,0%
2025-12-29,TRENDPULSE,1.26%,100.0%
2025-12-29,SIGMASHELL,0.0%,0%
2025-12-29,PULSEGAUGE,0.0%,0%
2025-12-29,BASELINEDIVERGENCE,0.0%,0%
2025-12-29,All Function Combined,1.89%,50.0%
2025-12-30,FRACTAL TRACK,0.0%,0.0%
2025-12-30,OSCILLATOR DELTA,0.0%,0%
2025-12-30,DELTADRIFT,0.63%,100.0%
2025-12-30,TRENDPULSE,1.26%,100.0%
2025-12-30,SIGMASHELL,0.0%,0%
2025-12-30,PULSEGAUGE,0.0%,0%
2025-12-30,BASELINEDIVERGENCE,0.0%,0%
2025-12-30,All Function Combined,1.89%,42.86%
2025-12-31,FRACTAL TRACK,3.14%,55.56%
2025-12-31,OSCILLATOR DELTA,0.0%,0%
2025-12-31,DELTADRIFT,0.0%,0%
2025-12-31,TRENDPULSE,5.03%,100.0%
2025-12-31,SIGMASHELL,0.0%,0%
2025-12-31,PULSEGAUGE,0.0%,0%
2025-12-31,BASELINEDIVERGENCE,0.0%,0%
2025-12-31,All Function Combined,7.55%,76.47%
2026-01-01,FRACTAL TRACK,0.0%,0%
2026-01-01,OSCILLATOR DELTA,0.0%,0%
2026-01-01,DELTADRIFT,0.0%,0%
2026-01-01,TRENDPULSE,0.0%,0%
2026-01-01,SIGMASHELL,0.0%,0%
2026-01-01,PULSEGAUGE,0.0%,0%
2026-01-01,BASELINEDIVERGENCE,0.0%,0%
2026-01-01,All Function Combined,0.0%,0%
2026-01-02,FRACTAL TRACK,3.77%,100.0%
2026-01-02,OSCILLATOR DELTA,0.63%,100.0%
2026-01-02,DELTADRIFT,0.63%,100.0%
2026-01-02,TRENDPULSE,1.26%,100.0%
2026-01-02,SIGMASHELL,0.63%,100.0%
2026-01-02,PULSEGAUGE,0.0%,0%
2026-01-02,BASELINEDIVERGENCE,0.0%,0%
2026-01-02,All Function Combined,6.29%,100.0%
2026-01-05,FRACTAL TRACK,0.0%,0%
2026-01-05,OSCILLATOR DELTA,0.0%,0%
2026-01-05,DELTADRIFT,0.0%,0%
2026-01-05,TRENDPULSE,1.26%,100.0%
2026-01-05,SIGMASHELL,0.0%,0%
2026-01-05,PULSEGAUGE,0.0%,0%
2026-01-05,BASELINEDIVERGENCE,0.0%,0%
2026-01-05,All Function Combined,1.26%,100.0%
2026-01-05,FRACTAL TRACK,0.0%,0%
2026-01-05,OSCILLATOR DELTA,0.0%,0%
2026-01-05,DELTADRIFT,0.0%,0%
2026-01-05,TRENDPULSE,1.26%,100.0%
2026-01-05,SIGMASHELL,0.0%,0%
2026-01-05,PULSEGAUGE,0.0%,0%
2026-01-05,BASELINEDIVERGENCE,0.0%,0%
2026-01-05,All Function Combined,1.26%,100.0%
2026-01-06,FRACTAL TRACK,1.89%,100.0%
2026-01-06,OSCILLATOR DELTA,0.0%,0%
2026-01-06,DELTADRIFT,0.0%,0%
2026-01-06,TRENDPULSE,5.66%,100.0%
2026-01-06,SIGMASHELL,0.0%,0%
2026-01-06,PULSEGAUGE,0.0%,0%
2026-01-06,BASELINEDIVERGENCE,0.0%,0%
2026-01-06,All Function Combined,6.29%,100.0%
2026-01-07,FRACTAL TRACK,0.63%,100.0%
2026-01-07,OSCILLATOR DELTA,0.63%,100.0%
2026-01-07,DELTADRIFT,0.0%,0%
2026-01-07,TRENDPULSE,1.89%,100.0%
2026-01-07,SIGMASHELL,0.0%,0%
2026-01-07,PULSEGAUGE,0.0%,0%
2026-01-07,BASELINEDIVERGENCE,0.0%,0%
2026-01-07,All Function Combined,3.14%,100.0%
2026-01-08,FRACTAL TRACK,0.63%,50.0%
2026-01-08,OSCILLATOR DELTA,0.0%,0%
2026-01-08,DELTADRIFT,0.0%,0%
2026-01-08,TRENDPULSE,0.63%,100.0%
2026-01-08,SIGMASHELL,0.0%,0%
2026-01-08,PULSEGAUGE,0.0%,0%
2026-01-08,BASELINEDIVERGENCE,0.0%,0%
2026-01-08,All Function Combined,0.63%,66.67%
2026-01-09,FRACTAL TRACK,1.26%,50.0%
2026-01-09,OSCILLATOR DELTA,0.63%,100.0%
2026-01-09,DELTADRIFT,0.0%,0%
2026-01-09,TRENDPULSE,4.4%,100.0%
2026-01-09,SIGMASHELL,0.0%,0%
2026-01-09,PULSEGAUGE,0.0%,0%
2026-01-09,BASELINEDIVERGENCE,0.0%,0%
2026-01-09,All Function Combined,6.29%,83.33%
2026-01-12,FRACTAL TRACK,1.26%,50.0%
2026-01-12,OSCILLATOR DELTA,0.0%,0%
2026-01-12,DELTADRIFT,1.26%,100.0%
2026-01-12,TRENDPULSE,6.92%,100.0%
2026-01-12,SIGMASHELL,0.0%,0%
2026-01-12,PULSEGAUGE,0.0%,0%
2026-01-12,BASELINEDIVERGENCE,0.0%,0%
2026-01-12,All Function Combined,8.81%,88.24%
2026-01-15,FRACTAL TRACK,0.63%,33.33%
2026-01-15,OSCILLATOR DELTA,0.63%,100.0%
2026-01-15,DELTADRIFT,0.0%,0%
2026-01-15,TRENDPULSE,2.52%,100.0%
2026-01-15,SIGMASHELL,0.0%,0%
2026-01-15,PULSEGAUGE,0.0%,0%
2026-01-15,BASELINEDIVERGENCE,0.0%,0%
2026-01-15,All Function Combined,3.77%,75.0%
2026-01-16,FRACTAL TRACK,3.77%,85.71%
2026-01-16,OSCILLATOR DELTA,0.0%,0%
